ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,vividness.response,vividness.rt,reaction_time.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,Flow01.response,Flow01.rt,Flow02.response,Flow02.rt,Flow03.response,Flow03.rt,Flow04.response,Flow04.rt,Flow05.response,Flow05.rt,Flow06.response,Flow06.rt,Flow07.response,Flow07.rt,Flow08.response,Flow08.rt,Flow09.response,Flow09.rt,Flow10.response,Flow10.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
images/fcloud80-20_D1.7_4.tif,1.7,2,,,,,,,,,0,85,85,99,,,,,,,,,,,,,,,3,space,3,1.451,3.33507855286,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud80-20_D1_5.tif,1.0,2,,,,,,,,,0,86,86,79,,,,,,,,,,,,,,,2,space,2,2.118,3.09327440197,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud_D1.3_4.tif,1.3,0,,,,,,,,,0,87,87,15,,,,,,,,,,,,,,,4,space,3,1.433,1.24561741704,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud_D1.1_6.tif,1.1,0,,,,,,,,,0,88,88,11,,,,,,,,,,,,,,,3,space,3,2.985,1.45740430595,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud65-35_D1.2_4.tif,1.2,1,,,,,,,,,0,89,89,48,,,,,,,,,,,,,,,2,space,3,3.917,3.63540641768,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud80-20_D0.9_4.tif,0.9,2,,,,,,,,,0,90,90,75,,,,,,,,,,,,,,,2,space,2,2.452,2.20893336501,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud65-35_D1.7_4.tif,1.7,1,,,,,,,,,0,91,91,63,,,,,,,,,,,,,,,None,None,None,13.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud65-35_D1.1_4.tif,1.1,1,,,,,,,,,0,92,92,45,,,,,,,,,,,,,,,2,space,2,0.886,2.72872091603,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud65-35_D1.7_6.tif,1.7,1,,,,,,,,,0,93,93,65,,,,,,,,,,,,,,,None,None,None,9.776,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud65-35_D1.2_5.tif,1.2,1,,,,,,,,,0,94,94,49,,,,,,,,,,,,,,,2,space,3,1.369,5.45216453489,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud65-35_D0.9_4.tif,0.9,1,,,,,,,,,0,95,95,39,,,,,,,,,,,,,,,3,space,2,2.018,5.59207253944,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud80-20_D1.2_6.tif,1.2,2,,,,,,,,,0,96,96,86,,,,,,,,,,,,,,,3,space,4,1.785,2.80898250872,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud_D1.6_6.tif,1.6,0,,,,,,,,,0,97,97,26,,,,,,,,,,,,,,,1,space,3,4.599,5.65657780698,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud_D0.8_5.tif,0.8,0,,,,,,,,,0,98,98,1,,,,,,,,,,,,,,,4,space,4,1.185,1.1847290463,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud_D1.4_6.tif,1.4,0,,,,,,,,,0,99,99,20,,,,,,,,,,,,,,,2,space,3,0.903,6.37923749071,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud_D1.8_5.tif,1.8,0,,,,,,,,,0,100,100,31,,,,,,,,,,,,,,,3,space,3,1.885,1.82013700614,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud65-35_D1.9_4.tif,1.9,1,,,,,,,,,0,101,101,69,,,,,,,,,,,,,,,1,None,1,0.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud65-35_D1.6_5.tif,1.6,1,,,,,,,,,0,102,102,61,,,,,,,,,,,,,,,2,space,1,0.502,5.14068422889,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud65-35_D0.9_5.tif,0.9,1,,,,,,,,,0,103,103,40,,,,,,,,,,,,,,,3,space,2,4.316,2.48766831474,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud65-35_D1.1_6.tif,1.1,1,,,,,,,,,0,104,104,47,,,,,,,,,,,,,,,2,space,4,2.683,1.79535900117,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud80-20_D1.9_4.tif,1.9,2,,,,,,,,,0,105,105,105,,,,,,,,,,,,,,,None,None,None,12.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud_D1.1_5.tif,1.1,0,,,,,,,,,0,106,106,10,,,,,,,,,,,,,,,2,space,1,0.652,1.29294345283,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud80-20_D1_4.tif,1.0,2,,,,,,,,,0,107,107,78,,,,,,,,,,,,,,,2,space,2,1.352,3.48328084822,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.06692081585,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
,,,,,,,,,,,,,,,,,,,,,,,,,7,6.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
